,fullpath,angle
0,train/center/1479424439139199216.jpg,-0.24434475933699998
1,train/center/1479424439189048462.jpg,-0.237094834527
2,train/center/1479424439238804558.jpg,-0.235619455576
3,train/center/1479424439288873996.jpg,-0.237123421254
4,train/center/1479424439338897649.jpg,-0.23847360872900003
5,train/center/1479424439389050392.jpg,-0.23911011219
6,train/center/1479424439439026249.jpg,-0.24021410596700002
7,train/center/1479424439489000412.jpg,-0.238662405683
8,train/center/1479424439539008146.jpg,-0.234535181752
9,train/center/1479424439588931656.jpg,-0.23212878405999998
10,train/center/1479424439638992559.jpg,-0.231074068684
11,train/center/1479424439689011636.jpg,-0.23212878405999998
12,train/center/1479424439738974012.jpg,-0.233179065961
13,train/center/1479424439788999808.jpg,-0.235975756013
14,train/center/1479424439838997171.jpg,-0.240855440497
15,train/center/1479424439889016541.jpg,-0.24292828577
16,train/center/1479424439939008923.jpg,-0.246091425419
17,train/center/1479424439989042323.jpg,-0.247836753726
18,train/center/1479424440039025983.jpg,-0.252056402588
19,train/center/1479424440089107846.jpg,-0.249582082033
20,train/center/1479424440139049683.jpg,-0.248580502468
21,train/center/1479424440189102578.jpg,-0.247836753726
22,train/center/1479424440239089993.jpg,-0.247836753726
23,train/center/1479424440289120449.jpg,-0.246203457822
24,train/center/1479424440339067966.jpg,-0.247836753726
25,train/center/1479424440389102621.jpg,-0.247836753726
26,train/center/1479424440439120492.jpg,-0.248800066645
27,train/center/1479424440489157972.jpg,-0.249582082033
28,train/center/1479424440539097756.jpg,-0.250381013669
29,train/center/1479424440589154293.jpg,-0.249582082033
30,train/center/1479424440639291823.jpg,-0.247836753726
31,train/center/1479424440689165821.jpg,-0.240736501124
32,train/center/1479424440739160171.jpg,-0.231117170464
33,train/center/1479424440789273350.jpg,-0.21621193399
34,train/center/1479424440839344045.jpg,-0.19968109428300002
35,train/center/1479424440889232632.jpg,-0.193731546402
36,train/center/1479424440939253070.jpg,-0.19288587509
37,train/center/1479424440989189630.jpg,-0.199024935809
38,train/center/1479424441039218442.jpg,-0.212977176183
39,train/center/1479424441089275383.jpg,-0.233928846264
40,train/center/1479424441139209821.jpg,-0.25475912917599997
41,train/center/1479424441189284322.jpg,-0.26354470849
42,train/center/1479424441239363268.jpg,-0.261806618501
43,train/center/1479424441289268089.jpg,-0.253108042381
44,train/center/1479424441339304192.jpg,-0.240910085247
45,train/center/1479424441389272225.jpg,-0.23219953428399998
46,train/center/1479424441439275582.jpg,-0.229552745427
47,train/center/1479424441489325662.jpg,-0.22519234332199997
48,train/center/1479424441539319745.jpg,-0.22176113586399998
49,train/center/1479424441589341397.jpg,-0.21310878163199998
50,train/center/1479424441639438782.jpg,-0.206878307903
51,train/center/1479424441689424576.jpg,-0.195609291985
52,train/center/1479424441739334123.jpg,-0.181674700573
53,train/center/1479424441789400473.jpg,-0.174615190739
54,train/center/1479424441839325878.jpg,-0.161537752079
55,train/center/1479424441889451256.jpg,-0.147111580519
56,train/center/1479424441939438605.jpg,-0.129566210635
57,train/center/1479424441989441650.jpg,-0.10875065762
58,train/center/1479424442039450026.jpg,-0.09022691093219999
59,train/center/1479424442089433715.jpg,-0.0788150970164
60,train/center/1479424442139405393.jpg,-0.07679449021819999
61,train/center/1479424442189551046.jpg,-0.07679449021819999
62,train/center/1479424442239450730.jpg,-0.07679449021819999
63,train/center/1479424442289481008.jpg,-0.07679449021819999
64,train/center/1479424442339486568.jpg,-0.07679449021819999
65,train/center/1479424442389503683.jpg,-0.0801116803307
66,train/center/1479424442439530609.jpg,-0.0827388539425
67,train/center/1479424442489632778.jpg,-0.0886816441898
68,train/center/1479424442539495427.jpg,-0.100487223352
69,train/center/1479424442589512346.jpg,-0.119653649322
70,train/center/1479424442639532159.jpg,-0.140588017788
71,train/center/1479424442689552568.jpg,-0.156276500667
72,train/center/1479424442739590972.jpg,-0.16473021486
73,train/center/1479424442789616433.jpg,-0.165806278586
74,train/center/1479424442839544998.jpg,-0.165806278586
75,train/center/1479424442889606441.jpg,-0.170815223854
76,train/center/1479424442939653462.jpg,-0.183446794175
77,train/center/1479424442989700693.jpg,-0.198038564097
78,train/center/1479424443039680368.jpg,-0.213711458157
79,train/center/1479424443089766403.jpg,-0.22617082319
80,train/center/1479424443139630242.jpg,-0.23212878405999998
81,train/center/1479424443189631605.jpg,-0.23387411236800001
82,train/center/1479424443239645420.jpg,-0.23212878405999998
83,train/center/1479424443289593232.jpg,-0.23212878405999998
84,train/center/1479424443340041341.jpg,-0.23212878405999998
85,train/center/1479424443389604164.jpg,-0.23212878405999998
86,train/center/1479424443439583173.jpg,-0.23387411236800001
87,train/center/1479424443489580072.jpg,-0.235303921232
